orderid,customer_id,purchasedate,productcategory,productprice,quantity,paymentmethod,totalprice
77,KH49593,4/3/2022,Clothing,342,1,PayPal,342
78,KH49593,12/12/2021,Clothing,265,4,PayPal,1060
79,KH49593,3/31/2022,Books,124,2,Crypto,248
80,KH49593,11/27/2021,Books,388,2,Cash,776
81,KH49593,12/16/2022,Home,121,5,PayPal,605
82,KH49593,5/19/2021,Clothing,124,1,Credit Card,124
83,KH49593,8/17/2022,Books,18,5,PayPal,90
84,KH34772,11/30/2020,Home,450,2,Cash,900
85,KH34772,8/18/2020,Books,313,3,Crypto,939
86,KH34772,12/10/2021,Electronics,389,3,Cash,1167
87,KH34772,11/30/2022,Clothing,177,5,Credit Card,885
88,KH34772,7/26/2022,Books,15,5,Credit Card,75
89,KH34772,10/2/2020,Books,62,2,Credit Card,124
90,KH34772,1/2/2020,Clothing,63,3,Credit Card,189
91,KH34772,6/29/2020,Clothing,140,2,PayPal,280
92,KH47326,1/24/2023,Clothing,386,3,Cash,1158
93,KH47326,8/25/2022,Electronics,188,5,PayPal,940
94,KH47326,8/8/2020,Home,371,1,Crypto,371
95,KH47326,6/23/2023,Clothing,400,5,PayPal,2000
96,KH47326,4/3/2023,Clothing,392,2,Cash,784
97,KH47326,10/14/2021,Electronics,486,5,Credit Card,2430
98,KH24270,3/1/2021,Electronics,323,1,Crypto,323
99,KH24270,1/25/2020,Books,332,2,PayPal,664
100,KH24270,10/28/2022,Clothing,92,2,PayPal,184
101,KH24270,5/14/2023,Clothing,495,2,Credit Card,990
102,KH24270,6/19/2023,Clothing,127,3,Credit Card,381
103,KH25638,11/13/2022,Books,289,3,PayPal,867
104,KH25638,1/30/2021,Clothing,79,5,Credit Card,395
105,KH25638,2/2/2023,Books,294,3,PayPal,882
106,KH25638,7/12/2021,Electronics,364,2,Credit Card,728
107,KH25638,12/18/2021,Home,133,4,PayPal,532
108,KH44610,12/21/2022,Clothing,291,5,Crypto,1455
109,KH44610,5/8/2023,Clothing,16,4,Credit Card,64
110,KH44610,1/4/2021,Electronics,348,1,Credit Card,348
111,KH44610,11/19/2021,Clothing,212,4,Credit Card,848
112,KH44610,10/8/2022,Home,90,3,Credit Card,270
113,KH44610,5/30/2020,Books,46,2,Credit Card,92
114,KH42239,1/27/2022,Home,39,2,Crypto,78
115,KH42239,2/15/2023,Clothing,424,1,Cash,424
116,KH42239,2/7/2023,Clothing,229,2,PayPal,458
117,KH42239,3/4/2020,Home,127,2,Cash,254
118,KH42239,4/26/2020,Home,113,2,PayPal,226
119,KH42239,10/25/2020,Clothing,129,5,PayPal,645
120,KH36664,3/6/2021,Books,404,5,Cash,2020
121,KH36664,4/9/2020,Electronics,437,5,Crypto,2185
122,KH36664,11/11/2020,Electronics,445,4,Cash,1780
123,KH36664,7/19/2023,Books,340,5,Credit Card,1700
124,KH36664,12/23/2020,Clothing,100,4,Crypto,400
125,KH36664,3/28/2020,Electronics,409,3,PayPal,1227
126,KH36664,4/21/2021,Clothing,86,1,PayPal,86
127,KH36664,9/16/2022,Electronics,354,2,Credit Card,708
128,KH36664,12/3/2022,Home,250,2,Credit Card,500
129,KH23703,7/7/2022,Books,449,4,PayPal,1796
130,KH23703,4/18/2021,Clothing,80,4,Credit Card,320
131,KH23703,2/18/2020,Home,158,4,Credit Card,632
132,KH23703,11/30/2020,Clothing,450,3,PayPal,1350
133,KH6089,11/28/2020,Home,215,2,Credit Card,430
134,KH6089,1/24/2020,Books,151,3,Cash,453
135,KH6089,1/10/2022,Clothing,92,3,PayPal,276
136,KH6089,5/23/2023,Books,46,4,Credit Card,184
137,KH6089,5/27/2022,Electronics,69,2,Crypto,138
138,KH6089,10/4/2020,Home,417,4,Cash,1668
139,KH6089,2/14/2021,Books,349,3,PayPal,1047
140,KH6089,2/17/2022,Books,153,3,PayPal,459
141,KH6089,6/13/2021,Clothing,450,5,Credit Card,2250
142,KH6089,9/21/2020,Electronics,56,3,Credit Card,168
143,KH34085,6/20/2020,Electronics,289,5,Cash,1445
144,KH34085,1/31/2021,Books,462,3,Credit Card,1386
145,KH34085,3/21/2021,Books,16,3,Cash,48
146,KH34085,11/27/2022,Electronics,88,3,Cash,264
147,KH34085,5/17/2022,Home,71,2,Credit Card,142
148,KH43154,8/4/2020,Books,432,1,Cash,432
149,KH43154,9/26/2022,Books,393,1,Credit Card,393
150,KH43154,6/14/2020,Books,184,3,Credit Card,552
151,KH43154,1/30/2022,Books,103,5,Crypto,515
152,KH43154,12/7/2022,Home,118,3,Cash,354
153,KH24260,10/9/2020,Electronics,485,2,Cash,970
154,KH24260,8/13/2021,Clothing,416,3,PayPal,1248
155,KH24260,2/15/2021,Clothing,334,5,Credit Card,1670
156,KH24260,9/17/2020,Books,413,4,Credit Card,1652
157,KH24260,9/21/2022,Electronics,492,5,PayPal,2460
158,KH24260,12/14/2020,Electronics,12,3,PayPal,36
159,KH24260,5/27/2021,Books,198,4,Cash,792
160,KH24260,6/11/2022,Home,375,3,Credit Card,1125
161,KH24260,6/18/2020,Clothing,38,3,Credit Card,114
162,KH24260,10/1/2021,Books,196,5,Credit Card,980
163,KH24260,11/22/2021,Clothing,489,3,PayPal,1467
164,KH24260,3/15/2021,Books,414,5,Crypto,2070
165,KH15269,8/23/2023,Clothing,341,3,PayPal,1023
166,KH15269,12/1/2021,Home,314,2,Credit Card,628
167,KH15269,12/14/2021,Clothing,20,5,Credit Card,100
168,KH15269,10/25/2022,Electronics,353,4,Cash,1412
169,KH15269,7/23/2021,Books,346,4,Credit Card,1384
170,KH15269,11/9/2021,Home,322,5,PayPal,1610
171,KH15269,10/4/2022,Home,430,5,PayPal,2150
172,KH5241,4/17/2021,Books,84,2,Credit Card,168
173,KH5241,10/10/2021,Electronics,370,3,Crypto,1110
174,KH5241,11/15/2021,Home,355,3,Credit Card,1065
175,KH5241,9/2/2022,Clothing,55,2,Crypto,110
176,KH5241,8/1/2022,Electronics,325,1,PayPal,325
177,KH3443,1/13/2020,Clothing,270,3,PayPal,810
178,KH3443,12/19/2020,Electronics,384,1,Credit Card,384
179,KH3443,1/5/2021,Electronics,53,2,Cash,106
180,KH3443,9/11/2020,Electronics,168,4,Credit Card,672
181,KH3443,5/15/2023,Books,425,4,PayPal,1700
182,KH3443,5/4/2021,Electronics,243,2,PayPal,486
183,KH3443,6/4/2020,Electronics,428,3,Credit Card,1284
184,KH3443,2/13/2021,Books,108,5,Cash,540
185,KH3443,2/13/2021,Electronics,56,1,Credit Card,56
186,KH47413,3/6/2022,Electronics,489,2,PayPal,978
187,KH47413,1/3/2023,Clothing,114,3,Credit Card,342
188,KH47413,2/23/2022,Books,87,1,Credit Card,87
189,KH47413,1/9/2021,Home,258,5,PayPal,1290
190,KH47413,6/17/2022,Electronics,137,2,Crypto,274
191,KH47413,2/9/2023,Electronics,465,3,Cash,1395
192,KH47413,8/12/2023,Clothing,111,5,Crypto,555
193,KH47413,5/29/2022,Clothing,32,5,Credit Card,160
194,KH39920,10/6/2022,Home,122,2,PayPal,244
195,KH39920,7/28/2023,Books,346,4,Credit Card,1384
196,KH39920,3/5/2020,Electronics,150,5,PayPal,750
197,KH39920,10/20/2020,Clothing,127,3,Cash,381
198,KH39920,4/6/2022,Home,37,1,Cash,37
199,KH39920,6/28/2021,Clothing,419,1,Crypto,419
200,KH39920,5/8/2020,Clothing,383,3,Credit Card,1149
201,KH39920,12/29/2021,Books,398,2,Credit Card,796
202,KH45933,2/4/2023,Home,396,2,PayPal,792
203,KH45933,8/19/2021,Books,155,4,Crypto,620
204,KH45933,5/19/2021,Clothing,35,5,Crypto,175
205,KH45933,4/15/2021,Books,202,3,Crypto,606
206,KH45933,3/11/2020,Home,291,3,Crypto,873
207,KH45933,10/21/2022,Home,484,4,Cash,1936
208,KH45933,1/28/2020,Clothing,49,3,Credit Card,147
209,KH8969,3/7/2023,Books,382,5,Credit Card,1910
210,KH8969,4/1/2022,Clothing,414,3,PayPal,1242
211,KH44809,11/11/2020,Home,425,3,PayPal,1275
212,KH44809,7/22/2022,Clothing,113,1,Crypto,113
213,KH44809,3/27/2022,Clothing,95,1,Cash,95
214,KH44809,8/21/2022,Home,349,2,Credit Card,698
215,KH44809,8/29/2022,Clothing,238,1,Crypto,238
216,KH44809,3/21/2020,Clothing,209,1,Credit Card,209
217,KH6163,9/21/2020,Home,424,3,Credit Card,1272
218,KH6163,6/30/2022,Clothing,36,2,Cash,72
219,KH6163,2/4/2023,Books,488,2,Cash,976
220,KH6163,3/1/2022,Books,25,3,PayPal,75
221,KH6163,4/25/2023,Books,155,1,PayPal,155
222,KH2919,11/23/2022,Books,214,4,PayPal,856
223,KH2919,11/5/2021,Books,493,1,Credit Card,493
224,KH2919,1/31/2020,Home,291,3,PayPal,873
225,KH2919,1/1/2023,Books,315,1,PayPal,315
226,KH2919,4/4/2020,Home,435,1,Cash,435
227,KH2919,8/28/2022,Books,430,3,PayPal,1290
228,KH2919,12/2/2021,Books,209,4,Credit Card,836
229,KH2919,10/23/2021,Books,381,1,Credit Card,381
230,KH2919,7/2/2020,Books,333,3,PayPal,999
231,KH2919,8/20/2021,Clothing,140,2,Cash,280
232,KH33320,5/17/2022,Home,450,3,Credit Card,1350
233,KH33320,6/7/2021,Electronics,495,5,PayPal,2475
234,KH33320,9/13/2022,Books,87,5,PayPal,435
235,KH33320,3/31/2020,Clothing,224,1,Credit Card,224
236,KH33320,7/5/2020,Books,480,1,Credit Card,480
237,KH33320,9/20/2020,Books,380,3,PayPal,1140
238,KH33320,7/31/2023,Clothing,205,5,Credit Card,1025
239,KH33320,12/30/2021,Electronics,296,5,Crypto,1480
240,KH33320,6/12/2021,Clothing,421,4,Credit Card,1684
241,KH33320,5/26/2020,Home,420,2,Credit Card,840
242,KH19284,6/19/2023,Clothing,269,4,Credit Card,1076
243,KH19284,4/16/2022,Books,261,4,Cash,1044
244,KH19284,1/14/2022,Clothing,255,2,Cash,510
245,KH19284,5/6/2021,Books,346,3,Credit Card,1038
246,KH19284,7/2/2022,Clothing,354,4,Credit Card,1416
247,KH38226,2/12/2020,Electronics,311,3,Credit Card,933
248,KH38226,2/22/2021,Clothing,493,5,Crypto,2465
249,KH38226,7/6/2020,Clothing,443,5,PayPal,2215
250,KH38226,9/22/2021,Clothing,468,3,Cash,1404
251,KH38226,6/19/2021,Books,253,2,PayPal,506
252,KH38226,11/30/2021,Clothing,318,1,Credit Card,318
253,KH7547,12/3/2021,Home,404,3,PayPal,1212
254,KH7547,2/26/2020,Electronics,103,4,PayPal,412
255,KH7547,3/2/2023,Electronics,49,1,PayPal,49
256,KH7547,2/19/2020,Home,428,4,PayPal,1712
257,KH7547,1/14/2023,Clothing,376,5,Credit Card,1880
258,KH7547,5/23/2020,Electronics,122,1,Credit Card,122
259,KH7547,4/29/2022,Home,442,5,PayPal,2210
260,KH7547,4/20/2021,Home,314,5,Credit Card,1570
261,KH7547,12/11/2021,Home,409,1,Credit Card,409
262,KH18196,10/13/2022,Clothing,358,3,Credit Card,1074
263,KH18196,6/12/2023,Home,182,5,PayPal,910
264,KH18196,3/5/2022,Electronics,243,2,Credit Card,486
265,KH18196,9/2/2020,Books,185,4,Credit Card,740
266,KH18196,5/24/2023,Books,354,5,Crypto,1770
267,KH18196,7/10/2023,Clothing,460,1,Credit Card,460
268,KH14162,4/8/2020,Home,81,3,Cash,243
269,KH14162,12/13/2020,Electronics,266,4,Credit Card,1064
270,KH14162,2/3/2023,Electronics,262,3,Credit Card,786
271,KH14162,6/14/2022,Electronics,401,3,Credit Card,1203
272,KH14162,3/24/2020,Books,489,4,PayPal,1956
273,KH14162,6/6/2021,Books,371,2,Credit Card,742
274,KH8626,3/8/2023,Clothing,41,3,Crypto,123
275,KH8626,9/8/2020,Clothing,40,1,Credit Card,40
276,KH8626,1/6/2022,Clothing,33,3,Credit Card,99
277,KH8626,11/5/2020,Books,451,4,Crypto,1804
278,KH8626,7/6/2023,Clothing,449,2,Crypto,898
279,KH8626,3/13/2020,Books,498,5,PayPal,2490
280,KH8626,1/10/2022,Clothing,74,3,PayPal,222
281,KH8626,6/2/2021,Electronics,184,1,PayPal,184
282,KH28501,7/28/2023,Clothing,209,3,Credit Card,627
283,KH28501,11/12/2020,Home,126,4,PayPal,504
284,KH28501,5/21/2022,Books,164,4,Cash,656
285,KH28501,4/28/2020,Books,301,4,PayPal,1204
286,KH28501,2/2/2021,Clothing,291,2,Cash,582
287,KH28501,7/12/2020,Books,224,1,Crypto,224
288,KH29635,3/8/2023,Clothing,477,3,PayPal,1431
289,KH29635,4/11/2021,Books,318,2,Cash,636
290,KH29635,3/22/2021,Clothing,248,4,Cash,992
291,KH29635,12/31/2020,Clothing,414,4,Credit Card,1656
292,KH23422,7/29/2022,Home,382,4,Credit Card,1528
293,KH23422,6/18/2023,Books,348,3,PayPal,1044
294,KH23422,2/4/2022,Clothing,303,4,Cash,1212
295,KH23422,11/17/2020,Books,83,1,Credit Card,83
296,KH23422,10/15/2020,Electronics,298,1,Credit Card,298
297,KH23422,1/5/2021,Home,211,1,PayPal,211
298,KH23422,2/10/2023,Home,433,1,PayPal,433
299,KH23422,4/12/2021,Books,218,1,Crypto,218
300,KH23422,3/18/2021,Books,483,3,Cash,1449
301,KH23422,4/24/2023,Electronics,261,1,Credit Card,261
302,KH46076,3/9/2023,Clothing,351,3,Credit Card,1053
303,KH46076,7/23/2023,Clothing,131,1,PayPal,131
304,KH46076,5/30/2020,Clothing,101,1,Credit Card,101
305,KH46076,3/17/2022,Clothing,311,2,Credit Card,622
306,KH46076,3/12/2022,Home,110,2,Cash,220
307,KH46076,8/2/2022,Books,216,2,Credit Card,432
308,KH46076,10/21/2020,Clothing,226,5,Credit Card,1130
309,KH46076,7/19/2020,Electronics,313,3,Credit Card,939
310,KH13989,7/31/2020,Electronics,27,4,PayPal,108
311,KH13989,10/7/2022,Electronics,303,3,Credit Card,909
312,KH13989,2/1/2022,Home,15,2,PayPal,30
313,KH13989,7/10/2020,Books,354,5,Cash,1770
314,KH13989,8/26/2020,Electronics,412,5,Crypto,2060
315,KH32384,12/5/2020,Home,372,4,Credit Card,1488
316,KH32384,12/21/2020,Clothing,143,2,Credit Card,286
317,KH32384,10/25/2022,Clothing,436,4,Credit Card,1744
318,KH32384,3/22/2022,Clothing,319,2,PayPal,638
319,KH32384,9/3/2022,Books,229,2,Credit Card,458
320,KH32384,5/30/2020,Books,172,2,Cash,344
321,KH32384,3/17/2023,Clothing,401,3,PayPal,1203
322,KH32384,10/18/2022,Home,94,1,PayPal,94
323,KH37881,10/18/2022,Home,21,5,PayPal,105
324,KH37881,1/25/2020,Electronics,460,2,Crypto,920
325,KH37881,4/28/2023,Books,200,4,Cash,800
326,KH37881,8/18/2020,Clothing,149,1,Credit Card,149
327,KH37881,6/1/2023,Home,43,3,Credit Card,129
328,KH27922,8/22/2023,Books,278,5,Credit Card,1390
329,KH27922,5/26/2022,Electronics,67,5,PayPal,335
330,KH27922,2/5/2021,Home,53,1,Cash,53
331,KH27922,3/28/2021,Electronics,365,4,Credit Card,1460
332,KH27922,1/7/2021,Clothing,389,4,PayPal,1556
333,KH27922,10/17/2022,Home,493,3,Credit Card,1479
334,KH35410,9/6/2021,Home,255,1,PayPal,255
335,KH35410,12/12/2020,Clothing,79,2,Credit Card,158
336,KH35410,9/17/2022,Home,458,3,Cash,1374
337,KH35410,11/10/2022,Books,445,4,Credit Card,1780
338,KH35410,6/16/2021,Clothing,108,3,Cash,324
339,KH35410,12/18/2022,Home,164,2,Crypto,328
340,KH35410,5/9/2021,Home,34,1,Cash,34
341,KH35410,3/5/2021,Books,162,4,PayPal,648
342,KH14237,10/26/2022,Books,226,4,PayPal,904
343,KH14237,8/10/2021,Books,477,2,Credit Card,954
344,KH14237,5/18/2021,Electronics,114,2,Credit Card,228
345,KH14237,8/18/2023,Books,11,3,Credit Card,33
346,KH14237,9/10/2020,Home,415,1,PayPal,415
347,KH14237,1/10/2020,Clothing,253,3,PayPal,759
348,KH14237,8/9/2023,Books,117,2,Cash,234
349,KH14237,6/14/2020,Books,144,1,Credit Card,144
350,KH14237,6/17/2021,Clothing,65,4,PayPal,260
351,KH40321,2/8/2022,Books,81,3,Credit Card,243
352,KH40321,7/8/2023,Books,143,2,PayPal,286
353,KH40321,5/22/2023,Home,56,4,Credit Card,224
354,KH40321,7/25/2023,Electronics,230,4,PayPal,920
355,KH40321,4/15/2022,Electronics,149,5,Credit Card,745
356,KH35059,1/6/2023,Books,42,5,Crypto,210
357,KH35059,2/1/2020,Electronics,349,1,Credit Card,349
358,KH35059,4/20/2020,Books,381,5,Credit Card,1905
359,KH35059,3/30/2021,Clothing,79,5,PayPal,395
360,KH35059,9/7/2022,Clothing,58,1,Cash,58
361,KH10461,11/29/2022,Home,62,1,Credit Card,62
362,KH10461,2/2/2020,Clothing,427,1,Credit Card,427
363,KH10461,8/16/2023,Clothing,82,5,PayPal,410
364,KH10461,3/12/2022,Books,37,3,PayPal,111
365,KH10461,4/9/2021,Clothing,319,1,Credit Card,319
366,KH10461,6/23/2022,Home,51,4,Credit Card,204
367,KH10461,7/15/2022,Electronics,168,5,Credit Card,840
368,KH10461,11/12/2022,Books,289,3,Cash,867
369,KH24866,3/7/2023,Home,235,2,Credit Card,470
370,KH24866,8/21/2020,Books,46,4,Credit Card,184
371,KH24866,7/29/2020,Home,42,2,Credit Card,84
372,KH24866,12/13/2022,Books,144,4,Cash,576
373,KH24866,5/5/2023,Home,493,1,Credit Card,493
374,KH2864,8/7/2022,Clothing,66,3,Cash,198
375,KH2864,11/5/2020,Clothing,492,1,Credit Card,492
376,KH2864,4/22/2023,Clothing,457,5,PayPal,2285
377,KH2864,3/17/2020,Home,272,2,PayPal,544
378,KH48598,1/29/2020,Books,383,3,Cash,1149
379,KH48598,2/16/2022,Home,282,2,Credit Card,564
380,KH48598,9/4/2021,Books,246,1,PayPal,246
381,KH48598,10/8/2020,Books,379,1,Crypto,379
382,KH48598,7/6/2022,Books,307,4,Credit Card,1228
383,KH48598,9/14/2020,Clothing,51,5,PayPal,255
384,KH48598,8/26/2021,Books,54,4,PayPal,216
385,KH30041,7/9/2020,Books,180,4,PayPal,720
386,KH30041,7/21/2022,Home,347,5,Credit Card,1735
387,KH30041,11/18/2022,Electronics,444,1,Cash,444
388,KH30041,10/29/2021,Electronics,483,3,Cash,1449
389,KH18890,8/2/2023,Home,322,1,Credit Card,322
390,KH18890,6/17/2022,Clothing,348,2,Credit Card,696
391,KH18890,3/2/2021,Clothing,149,5,Credit Card,745
392,KH18890,12/9/2020,Electronics,424,5,Cash,2120
393,KH18890,4/25/2021,Books,249,1,Credit Card,249
394,KH25798,8/6/2020,Electronics,83,5,Cash,415
395,KH25798,2/12/2022,Books,361,3,Credit Card,1083
396,KH25798,3/2/2023,Clothing,491,2,Credit Card,982
397,KH25798,10/27/2020,Clothing,17,3,PayPal,51
398,KH25798,12/26/2022,Books,22,3,PayPal,66
399,KH25798,10/8/2020,Electronics,119,4,PayPal,476
400,KH25798,5/20/2020,Clothing,315,1,Cash,315
401,KH25798,4/4/2020,Home,300,5,Crypto,1500
402,KH19511,6/4/2022,Books,259,5,Cash,1295
403,KH19511,8/13/2020,Electronics,14,5,Credit Card,70
404,KH19511,7/15/2023,Home,217,2,PayPal,434
405,KH19511,9/13/2022,Books,313,4,Credit Card,1252
406,KH19511,9/8/2022,Clothing,122,3,Credit Card,366
407,KH19511,1/16/2022,Clothing,12,5,Credit Card,60
408,KH44616,12/18/2020,Books,83,5,PayPal,415
409,KH44616,12/9/2020,Books,263,4,PayPal,1052
410,KH2935,4/14/2022,Books,89,5,Cash,445
411,KH2935,8/24/2020,Home,238,3,Credit Card,714
412,KH2935,7/8/2023,Electronics,224,3,PayPal,672
413,KH47245,9/15/2020,Books,50,1,Credit Card,50
414,KH47245,4/8/2021,Home,495,1,Credit Card,495
415,KH47245,5/5/2023,Books,478,4,Crypto,1912
416,KH47245,1/6/2021,Books,412,1,Credit Card,412
417,KH47245,7/5/2022,Books,266,2,Cash,532
418,KH1350,9/25/2020,Home,309,2,PayPal,618
419,KH1350,1/21/2022,Clothing,127,5,Cash,635
420,KH1350,1/13/2021,Books,389,4,Credit Card,1556
421,KH1350,5/6/2023,Clothing,62,1,Credit Card,62
422,KH1350,9/12/2020,Clothing,18,1,Credit Card,18
423,KH1350,4/20/2022,Home,363,3,PayPal,1089
424,KH20370,4/12/2023,Clothing,300,2,Credit Card,600
425,KH20370,4/26/2022,Electronics,362,5,PayPal,1810
426,KH15574,10/15/2021,Clothing,68,5,Credit Card,340
427,KH15574,12/23/2021,Electronics,457,5,Cash,2285
428,KH15574,10/2/2022,Clothing,214,2,Credit Card,428
429,KH15574,5/21/2022,Clothing,349,4,PayPal,1396
430,KH15574,4/20/2023,Books,31,3,PayPal,93
431,KH15574,3/18/2022,Electronics,64,4,Crypto,256
432,KH15574,7/16/2023,Home,77,4,Cash,308
433,KH15574,2/8/2023,Books,65,4,Credit Card,260
434,KH556,8/15/2021,Clothing,49,4,PayPal,196
435,KH556,8/18/2020,Books,24,5,Credit Card,120
436,KH556,7/16/2020,Books,319,4,Credit Card,1276
437,KH556,7/10/2022,Electronics,463,3,Credit Card,1389
438,KH556,3/6/2022,Home,461,2,Cash,922
439,KH556,12/1/2020,Electronics,55,1,Crypto,55
440,KH727,1/31/2023,Electronics,168,4,Credit Card,672
441,KH727,8/18/2020,Books,226,5,PayPal,1130
442,KH727,11/3/2022,Home,489,2,Cash,978
443,KH18972,1/10/2020,Electronics,232,5,Crypto,1160
444,KH18972,4/1/2021,Clothing,490,2,Cash,980
445,KH18972,2/28/2022,Electronics,359,5,Credit Card,1795
446,KH18972,5/4/2021,Home,394,5,Credit Card,1970
447,KH20592,5/28/2021,Electronics,329,4,Credit Card,1316
448,KH20592,8/11/2022,Books,119,3,Credit Card,357
449,KH20592,5/6/2022,Home,35,4,Cash,140
450,KH20592,8/11/2021,Clothing,443,1,Crypto,443
451,KH20592,2/13/2020,Books,165,3,PayPal,495
452,KH20592,4/18/2023,Clothing,368,2,Credit Card,736
453,KH20592,6/10/2022,Clothing,15,5,Cash,75
454,KH20592,5/16/2022,Electronics,228,4,Credit Card,912
455,KH20592,9/11/2022,Electronics,101,3,PayPal,303
456,KH20592,6/20/2022,Home,116,1,Cash,116
457,KH10687,7/27/2021,Books,394,3,Cash,1182
458,KH10687,8/8/2020,Clothing,242,3,Credit Card,726
459,KH10687,4/6/2020,Clothing,448,4,PayPal,1792
460,KH10687,2/6/2023,Electronics,167,3,PayPal,501
461,KH10687,10/12/2022,Home,454,5,Cash,2270
462,KH22131,5/9/2020,Books,110,1,Cash,110
463,KH22131,3/16/2020,Books,334,2,Credit Card,668
464,KH22131,9/7/2021,Electronics,299,2,PayPal,598
465,KH22131,7/9/2023,Books,412,4,PayPal,1648
466,KH22131,6/23/2021,Books,462,3,Cash,1386
467,KH22131,9/29/2020,Home,290,3,PayPal,870
468,KH22131,10/14/2021,Clothing,70,2,Credit Card,140
469,KH22131,7/15/2023,Clothing,357,1,PayPal,357
470,KH22131,9/1/2022,Clothing,61,3,Credit Card,183
471,KH22131,1/15/2021,Electronics,183,5,PayPal,915
472,KH22131,6/30/2023,Clothing,299,2,Credit Card,598
