stt,customer_id,totalspent,frequency,lastpurchasedate,recency,customer_labels
99,KH17555,3734,6,1/10/2023,248,Regular Customers
100,KH9809,3720,5,5/4/2023,134,Regular Customers
101,KH3671,5042,8,8/22/2022,389,VIP Customers
102,KH42278,4752,6,8/5/2023,40,VIP Customers
103,KH29859,2955,4,2/27/2023,200,Regular Customers
104,KH10179,5388,4,8/25/2023,21,Regular Customers
105,KH28622,2353,3,4/6/2023,161,Regular Customers
106,KH17596,2438,3,6/22/2022,449,Lapsed Customers
107,KH41051,3754,6,7/6/2023,71,Regular Customers
108,KH13646,1448,4,12/18/2022,271,Regular Customers
109,KH47792,3046,3,3/24/2023,175,Regular Customers
110,KH43928,5025,4,7/7/2023,69,Regular Customers
111,KH42045,3654,4,8/17/2023,28,Regular Customers
112,KH39880,2431,4,9/1/2023,14,Regular Customers
113,KH6868,3706,7,3/17/2023,182,VIP Customers
114,KH26505,3205,4,12/10/2022,278,Regular Customers
115,KH19088,6023,6,3/28/2023,170,VIP Customers
116,KH47151,447,3,7/12/2023,65,Regular Customers
117,KH26347,4934,7,6/11/2022,461,VIP Customers
118,KH3951,7181,8,9/1/2023,13,VIP Customers
119,KH19364,2377,4,3/16/2022,547,Lapsed Customers
120,KH10651,4462,7,9/9/2021,736,Lapsed Customers
121,KH15228,5984,8,8/21/2023,25,VIP Customers
122,KH47909,3552,4,7/12/2023,65,Regular Customers
123,KH49955,2808,3,6/9/2022,463,Lapsed Customers
124,KH32951,5697,7,6/26/2023,81,VIP Customers
125,KH43184,4640,7,9/29/2022,351,VIP Customers
126,KH37292,2967,6,2/9/2022,583,Lapsed Customers
127,KH2632,4689,7,7/17/2023,60,VIP Customers
128,KH40233,6663,7,6/27/2023,79,VIP Customers
129,KH18311,6493,10,12/21/2022,268,VIP Customers
130,KH23337,3844,7,8/3/2023,43,VIP Customers
131,KH49866,4715,5,6/20/2023,86,Regular Customers
132,KH48294,2904,5,6/10/2023,97,Regular Customers
133,KH36600,3295,5,9/2/2022,378,Regular Customers
134,KH41155,1550,3,8/25/2023,21,Regular Customers
135,KH17379,6067,8,8/29/2023,17,VIP Customers
136,KH23148,3083,4,6/23/2023,84,Regular Customers
137,KH12384,9246,8,4/26/2023,142,VIP Customers
138,KH31790,5722,9,8/21/2023,24,VIP Customers
139,KH36391,4793,6,3/16/2022,548,Lapsed Customers
140,KH26827,2199,2,6/19/2023,87,Regular Customers
141,KH28714,6010,8,11/16/2022,303,VIP Customers
142,KH32290,1651,4,4/29/2023,139,Regular Customers
143,KH4714,7165,5,5/2/2023,136,VIP Customers
144,KH32334,4156,7,8/18/2023,28,VIP Customers
145,KH36882,6974,9,7/4/2023,73,VIP Customers
146,KH11343,3603,5,7/15/2021,792,Lapsed Customers
147,KH9763,4852,7,1/26/2023,231,VIP Customers
148,KH5436,1696,4,2/2/2023,224,Regular Customers
149,KH28624,6441,9,1/1/2023,256,VIP Customers
150,KH35564,2139,6,9/10/2023,4,Regular Customers
151,KH37403,9225,11,6/29/2023,78,VIP Customers
152,KH42408,7121,6,10/22/2021,692,Lapsed Customers
153,KH36208,4561,9,4/29/2023,138,VIP Customers
154,KH18181,3839,7,8/19/2023,26,VIP Customers
155,KH12095,1767,6,4/3/2023,164,Regular Customers
156,KH42828,7958,7,5/8/2022,495,VIP Customers
157,KH33694,7720,11,6/30/2023,77,VIP Customers
158,KH10411,3351,4,7/24/2023,53,Regular Customers
159,KH17971,4182,4,6/13/2022,458,Lapsed Customers
160,KH24484,3753,6,6/5/2023,102,Regular Customers
161,KH26964,4860,7,7/3/2023,73,VIP Customers
162,KH20724,2767,2,7/19/2023,58,Regular Customers
163,KH44069,5493,8,8/7/2023,38,VIP Customers
164,KH30175,3036,5,5/27/2023,111,Regular Customers
165,KH6336,5993,5,11/23/2022,296,VIP Customers
166,KH20441,4786,7,9/1/2023,13,VIP Customers
167,KH26800,4047,6,1/12/2023,245,Regular Customers
168,KH5257,6773,8,7/29/2023,48,VIP Customers
169,KH23274,6452,11,7/17/2023,60,VIP Customers
170,KH43180,1993,4,1/23/2023,234,Regular Customers
171,KH40516,5941,6,7/31/2023,45,VIP Customers
172,KH28218,5623,4,8/29/2021,746,Lapsed Customers
173,KH759,5772,6,7/21/2023,56,VIP Customers
174,KH9507,9799,10,9/6/2022,374,VIP Customers
175,KH11646,5845,9,6/29/2023,77,VIP Customers
176,KH35280,3063,6,11/5/2022,313,Regular Customers
177,KH25161,6961,8,8/25/2023,21,VIP Customers
178,KH45031,6548,7,3/4/2023,195,VIP Customers
179,KH42667,7979,8,6/15/2023,92,VIP Customers
180,KH17880,2574,3,3/10/2023,188,Regular Customers
181,KH35861,3959,7,7/10/2023,67,VIP Customers
182,KH2473,1560,3,2/10/2021,946,Lapsed Customers
183,KH3850,2868,3,1/29/2023,229,Regular Customers
184,KH42314,264,2,12/10/2021,644,Lapsed Customers
185,KH20078,4392,6,8/2/2023,44,VIP Customers
186,KH18390,6299,10,12/5/2022,284,VIP Customers
187,KH27387,1697,2,9/13/2023,1,Regular Customers
188,KH49622,7985,12,8/10/2023,35,VIP Customers
189,KH8870,5642,7,6/16/2023,90,VIP Customers
190,KH23445,5773,7,2/22/2023,204,VIP Customers
191,KH48344,2485,3,8/12/2023,34,Regular Customers
192,KH40972,4149,5,7/11/2023,65,Regular Customers
193,KH10937,5815,6,7/1/2022,440,VIP Customers
194,KH988,3516,4,1/3/2022,620,Lapsed Customers
195,KH13285,4146,5,7/7/2023,70,Regular Customers
196,KH46559,3181,6,2/28/2023,199,Regular Customers
197,KH21041,5574,6,9/7/2023,8,VIP Customers
198,KH6757,3074,5,9/16/2022,363,Regular Customers
199,KH20095,6017,6,8/14/2023,31,VIP Customers
200,KH12179,3967,8,7/19/2022,422,VIP Customers
201,KH41187,7237,7,8/10/2023,35,VIP Customers
202,KH30366,6708,6,5/3/2023,135,VIP Customers
203,KH31456,2284,5,8/23/2023,23,Regular Customers
204,KH46606,4688,9,8/10/2023,35,VIP Customers
205,KH46829,3143,7,10/31/2022,318,Regular Customers
206,KH27831,3641,10,7/28/2023,48,VIP Customers
207,KH2728,4947,8,2/7/2023,219,VIP Customers
208,KH19296,3384,5,4/11/2023,157,Regular Customers
209,KH18131,3767,5,9/14/2023,1,Regular Customers
210,KH26499,1075,2,8/13/2023,33,Regular Customers
211,KH4742,3870,4,8/19/2023,26,Regular Customers
212,KH31914,1752,5,10/18/2022,332,Regular Customers
213,KH20287,6434,7,8/13/2023,32,VIP Customers
214,KH49611,3836,4,3/15/2023,183,Regular Customers
215,KH35869,3126,5,2/2/2023,225,Regular Customers
216,KH10020,4996,6,8/9/2023,36,VIP Customers
217,KH9416,4678,8,11/12/2022,306,VIP Customers
218,KH32971,2809,5,1/12/2023,246,Regular Customers
219,KH19216,2924,3,8/17/2023,29,Regular Customers
220,KH12335,4360,5,6/17/2022,454,Regular Customers
221,KH22158,4673,7,8/16/2023,29,VIP Customers
222,KH46709,2515,7,7/4/2023,72,Regular Customers
223,KH32346,3336,5,8/29/2023,16,Regular Customers
224,KH17088,7946,8,3/27/2023,171,VIP Customers
225,KH48448,3592,7,5/13/2023,124,VIP Customers
226,KH31907,3740,6,8/5/2023,40,Regular Customers
227,KH39644,2962,3,3/26/2022,537,Lapsed Customers
228,KH19121,2639,6,6/1/2023,106,Regular Customers
229,KH19215,1815,3,10/7/2022,342,Regular Customers
230,KH22239,4635,5,3/8/2023,190,Regular Customers
231,KH48180,3335,5,11/9/2022,310,Regular Customers
232,KH29363,7633,7,7/2/2023,74,VIP Customers
233,KH44605,3851,5,8/26/2023,19,Regular Customers
234,KH40699,2834,5,9/13/2023,2,Regular Customers
235,KH40935,6450,6,8/29/2022,381,VIP Customers
236,KH37217,3765,7,8/29/2023,17,VIP Customers
237,KH23914,1843,4,9/14/2022,365,Regular Customers
238,KH2157,5252,7,8/22/2023,23,VIP Customers
239,KH15677,3612,5,3/22/2022,542,Lapsed Customers
240,KH36099,3930,4,3/12/2022,552,Lapsed Customers
241,KH16006,11475,12,5/12/2023,126,VIP Customers
242,KH1673,3835,3,1/15/2023,242,Regular Customers
243,KH33377,5497,6,11/4/2022,314,VIP Customers
244,KH43766,1694,6,9/3/2023,12,Regular Customers
245,KH4299,2188,3,6/29/2023,78,Regular Customers
246,KH35043,5752,7,6/25/2023,82,VIP Customers
247,KH17282,1347,6,7/25/2023,52,Regular Customers
248,KH29184,9910,8,3/7/2023,191,VIP Customers
249,KH14402,2167,4,8/13/2022,397,Regular Customers
250,KH37400,5807,8,7/22/2023,55,VIP Customers
251,KH33755,4774,9,6/12/2023,94,VIP Customers
252,KH23680,2255,3,12/16/2022,272,Regular Customers
253,KH3322,3135,3,3/11/2023,188,Regular Customers
254,KH2533,4784,5,7/17/2023,60,Regular Customers
255,KH22083,2547,5,7/22/2022,419,Regular Customers
256,KH26568,4247,4,6/13/2023,93,Regular Customers
257,KH38085,776,1,8/14/2021,762,Lapsed Customers
258,KH28441,2536,9,6/27/2023,80,VIP Customers
259,KH8321,3220,4,2/20/2023,207,Regular Customers
260,KH41513,7837,6,12/21/2022,267,VIP Customers
261,KH24239,6274,9,1/2/2023,255,VIP Customers
262,KH48435,2969,4,7/22/2022,420,Regular Customers
263,KH16242,2501,5,5/10/2023,127,Regular Customers
264,KH16918,4644,8,2/10/2023,217,VIP Customers
265,KH38243,8120,8,7/27/2023,49,VIP Customers
266,KH11454,3970,3,7/15/2023,62,Regular Customers
267,KH22711,5450,6,4/23/2023,144,VIP Customers
268,KH1071,4303,6,8/19/2023,27,Regular Customers
269,KH15593,4964,6,3/7/2023,192,VIP Customers
270,KH6369,5929,8,9/12/2023,2,VIP Customers
271,KH12904,2821,7,4/2/2023,165,Regular Customers
272,KH45018,1580,5,5/8/2023,129,Regular Customers
273,KH27113,4504,6,5/30/2023,107,VIP Customers
274,KH5666,679,4,1/14/2023,244,Regular Customers
275,KH19113,6229,7,12/21/2022,268,VIP Customers
276,KH9859,6586,8,4/19/2023,149,VIP Customers
277,KH29719,1957,7,7/7/2022,435,Regular Customers
278,KH24384,7060,11,4/5/2023,162,VIP Customers
279,KH2102,2860,4,3/3/2022,561,Lapsed Customers
280,KH34604,3853,5,6/9/2023,98,Regular Customers
281,KH43438,7080,9,8/16/2023,30,VIP Customers
282,KH45565,7082,6,5/2/2023,135,VIP Customers
283,KH35054,2577,5,1/1/2023,257,Regular Customers
284,KH25525,4426,5,5/20/2023,118,Regular Customers
285,KH34312,6409,10,8/19/2023,26,VIP Customers
286,KH36900,2344,5,6/25/2023,82,Regular Customers
287,KH7445,5118,6,6/10/2023,97,VIP Customers
288,KH21582,6134,11,7/21/2023,55,VIP Customers
289,KH37866,6648,4,1/28/2022,594,Lapsed Customers
290,KH12148,5656,7,4/1/2023,167,VIP Customers
291,KH45621,1284,4,5/3/2023,135,Regular Customers
292,KH20810,5008,4,10/28/2022,322,Regular Customers
293,KH8691,5288,5,7/10/2023,66,Regular Customers
294,KH21823,7565,8,3/19/2023,180,VIP Customers
295,KH20664,4654,6,7/28/2023,49,VIP Customers
296,KH49271,5904,7,12/11/2022,278,VIP Customers
297,KH16518,4310,6,9/8/2023,6,Regular Customers
298,KH6311,3935,4,4/10/2023,158,Regular Customers
299,KH41921,4073,5,2/8/2023,219,Regular Customers
300,KH36103,577,3,12/27/2022,262,Regular Customers
301,KH31148,6902,6,4/22/2023,146,VIP Customers
302,KH8566,6157,5,11/5/2022,314,VIP Customers
303,KH19914,1533,4,9/8/2023,7,Regular Customers
304,KH22476,2935,8,8/28/2023,18,VIP Customers
305,KH23305,2032,3,5/22/2023,115,Regular Customers
306,KH43695,8010,12,9/6/2023,9,VIP Customers
307,KH40848,2741,7,3/30/2023,169,Regular Customers
308,KH17967,4345,7,6/18/2023,88,VIP Customers
309,KH13518,5971,9,4/26/2022,507,VIP Customers
310,KH32116,2447,4,9/3/2021,742,Lapsed Customers
311,KH13918,3331,4,6/22/2023,84,Regular Customers
312,KH20854,5977,10,8/17/2023,28,VIP Customers
313,KH23891,5902,9,4/13/2023,155,VIP Customers
314,KH46153,4916,7,8/4/2023,41,VIP Customers
315,KH10807,2589,3,9/25/2022,355,Regular Customers
316,KH33300,4831,4,9/18/2021,726,Lapsed Customers
317,KH36614,9661,10,8/18/2023,27,VIP Customers
318,KH5981,5345,6,9/8/2022,372,VIP Customers
319,KH8946,3866,6,6/2/2023,104,Regular Customers
320,KH16361,3884,6,11/15/2022,303,Regular Customers
321,KH48634,4154,5,9/5/2023,10,Regular Customers
322,KH43690,4967,6,4/3/2023,164,VIP Customers
323,KH31073,5830,8,7/7/2023,69,VIP Customers
324,KH31741,7149,8,5/1/2023,137,VIP Customers
325,KH6476,5642,5,6/30/2023,77,VIP Customers
326,KH35355,3680,10,9/9/2023,6,VIP Customers
327,KH39216,7916,6,6/24/2023,82,VIP Customers
328,KH23944,4061,6,11/30/2021,654,Lapsed Customers
329,KH39209,3719,6,7/9/2023,67,Regular Customers
330,KH31204,2304,4,8/27/2023,19,Regular Customers
331,KH21097,2238,5,6/12/2023,95,Regular Customers
332,KH46410,4574,6,5/21/2021,846,Lapsed Customers
333,KH28121,7259,7,7/8/2023,69,VIP Customers
334,KH41291,2220,1,6/23/2023,84,Regular Customers
335,KH3388,2483,4,7/3/2022,438,Lapsed Customers
336,KH18171,2711,2,4/29/2023,139,Regular Customers
337,KH1701,6234,7,11/7/2022,311,VIP Customers
338,KH19040,4531,6,10/11/2022,339,Regular Customers
339,KH23448,3247,3,8/4/2022,406,Regular Customers
340,KH30599,1822,3,6/1/2023,105,Regular Customers
341,KH29272,3620,8,11/17/2022,301,VIP Customers
342,KH39376,1320,3,6/14/2022,457,Lapsed Customers
343,KH42163,3485,6,9/8/2022,372,Regular Customers
344,KH2600,8500,9,8/26/2023,20,VIP Customers
345,KH39294,4384,3,6/3/2023,104,Regular Customers
346,KH15941,9580,9,4/13/2023,155,VIP Customers
347,KH34830,5324,6,11/19/2022,300,VIP Customers
348,KH9723,4926,6,7/20/2023,57,VIP Customers
349,KH13190,1088,4,8/18/2023,28,Regular Customers
350,KH26994,3139,3,9/18/2021,726,Lapsed Customers
351,KH44822,5113,8,5/31/2022,471,VIP Customers
352,KH49123,2340,4,8/28/2023,17,Regular Customers
353,KH19930,3494,4,3/12/2023,186,Regular Customers
354,KH5935,2736,5,3/8/2023,190,Regular Customers
355,KH34070,8411,8,5/23/2023,115,VIP Customers
356,KH41367,2916,5,5/24/2023,114,Regular Customers
357,KH16959,1538,4,2/26/2023,200,Regular Customers
358,KH132,5349,6,12/24/2022,265,VIP Customers
359,KH6960,3620,3,11/16/2022,303,Regular Customers
360,KH30625,4297,5,8/22/2023,23,Regular Customers
361,KH3505,2301,5,6/19/2023,87,Regular Customers
362,KH3190,6960,7,2/20/2023,206,VIP Customers
363,KH3828,4527,5,3/19/2023,180,Regular Customers
364,KH2753,5972,4,7/4/2023,73,Regular Customers
365,KH27121,10579,12,6/16/2023,90,VIP Customers
366,KH8325,7758,7,9/11/2023,3,VIP Customers
367,KH39479,1752,3,8/20/2022,391,Regular Customers
368,KH47737,4579,8,6/3/2023,103,VIP Customers
369,KH16125,2374,2,9/28/2022,351,Regular Customers
370,KH48787,8745,7,12/1/2022,288,VIP Customers
371,KH6608,3876,4,7/7/2023,70,Regular Customers
372,KH39143,4260,5,8/4/2023,41,Regular Customers
373,KH42375,4938,6,8/9/2023,37,VIP Customers
374,KH7203,8940,8,8/8/2023,38,VIP Customers
375,KH13678,4141,4,4/23/2023,144,Regular Customers
376,KH43287,5076,8,5/25/2023,113,VIP Customers
377,KH30781,8648,10,8/11/2023,34,VIP Customers
378,KH6237,3401,6,2/26/2023,201,Regular Customers
379,KH13708,5000,5,2/10/2023,217,Regular Customers
380,KH25526,5187,8,5/12/2023,126,VIP Customers
381,KH12901,7119,10,3/9/2023,189,VIP Customers
382,KH36160,5136,6,6/12/2023,95,VIP Customers
383,KH31627,4928,7,7/7/2023,70,VIP Customers
384,KH1347,2795,3,6/22/2023,84,Regular Customers
385,KH14063,5432,5,7/7/2023,70,VIP Customers
386,KH29617,1251,4,2/19/2022,573,Lapsed Customers
387,KH33739,9521,11,2/20/2023,206,VIP Customers
388,KH24903,3194,8,9/8/2023,6,VIP Customers
389,KH13591,5823,7,4/27/2023,141,VIP Customers
390,KH44217,2476,6,6/17/2023,90,Regular Customers
391,KH4593,969,3,9/28/2021,716,Lapsed Customers
392,KH38318,1853,3,7/19/2022,423,Lapsed Customers
393,KH8474,6834,13,9/1/2023,14,VIP Customers
394,KH24839,3468,5,4/17/2023,151,Regular Customers
395,KH16973,3274,6,6/18/2023,88,Regular Customers
396,KH31103,764,1,7/8/2022,433,Lapsed Customers
397,KH32072,4450,7,2/24/2023,202,VIP Customers
398,KH17256,1121,5,7/22/2023,55,Regular Customers
399,KH3324,5593,4,8/31/2022,380,Regular Customers
400,KH4748,3390,10,1/16/2023,242,VIP Customers
401,KH37122,3294,6,9/13/2023,1,Regular Customers
402,KH24026,4605,7,3/13/2023,185,VIP Customers
403,KH34709,7555,6,6/4/2023,103,VIP Customers
404,KH36456,8453,8,7/31/2023,46,VIP Customers
405,KH37460,1611,5,6/29/2023,78,Regular Customers
406,KH23136,1188,3,7/27/2021,779,Lapsed Customers
407,KH30032,4775,5,1/4/2023,254,Regular Customers
408,KH1818,911,3,9/14/2021,731,Lapsed Customers
409,KH35119,2490,4,7/3/2023,74,Regular Customers
410,KH36753,1792,5,12/17/2022,271,Regular Customers
411,KH39383,4833,6,6/17/2022,455,VIP Customers
412,KH46250,9164,12,8/4/2023,42,VIP Customers
413,KH3029,4589,7,7/16/2023,61,VIP Customers
414,KH47666,3441,4,1/8/2023,250,Regular Customers
415,KH4040,3718,6,10/13/2022,336,Regular Customers
416,KH790,3869,5,7/8/2023,69,Regular Customers
417,KH21942,4008,5,4/19/2022,513,Lapsed Customers
418,KH41546,3853,6,2/12/2023,214,Regular Customers
419,KH37818,2989,5,7/8/2022,434,Regular Customers
420,KH4147,1115,4,11/1/2022,318,Regular Customers
421,KH23040,4468,7,8/12/2023,33,VIP Customers
422,KH37815,1341,2,9/5/2021,739,Lapsed Customers
423,KH44354,7565,6,3/23/2023,176,VIP Customers
424,KH7851,11038,10,5/18/2023,119,VIP Customers
425,KH38550,3927,6,6/13/2023,94,Regular Customers
426,KH1879,4068,4,1/9/2023,248,Regular Customers
427,KH255,5927,10,7/23/2023,53,VIP Customers
428,KH38535,2222,4,4/19/2023,149,Regular Customers
429,KH47715,1443,3,4/24/2023,144,Regular Customers
430,KH3688,4674,6,7/4/2023,73,VIP Customers
431,KH45048,1263,3,5/15/2023,123,Regular Customers
432,KH49460,2920,4,2/5/2023,221,Regular Customers
433,KH32716,8829,9,12/31/2022,257,VIP Customers
434,KH24692,2737,6,8/16/2022,395,Regular Customers
435,KH24917,5884,4,12/19/2022,269,Regular Customers
436,KH29989,4942,6,2/20/2023,206,VIP Customers
437,KH1913,3130,6,6/8/2023,99,Regular Customers
438,KH23193,76,1,2/22/2020,1300,Lapsed Customers
439,KH26991,3137,5,9/11/2023,4,Regular Customers
440,KH45632,4582,6,3/14/2023,184,VIP Customers
441,KH35773,4863,6,5/9/2023,129,VIP Customers
442,KH29362,7664,8,7/1/2023,75,VIP Customers
443,KH46038,3877,6,1/2/2023,256,Regular Customers
444,KH12960,3090,4,11/7/2022,311,Regular Customers
445,KH35992,11517,11,7/1/2023,75,VIP Customers
446,KH37959,7258,8,9/8/2022,371,VIP Customers
447,KH34054,7696,9,8/29/2023,16,VIP Customers
448,KH49741,3641,5,7/18/2023,59,Regular Customers
449,KH14396,7754,9,6/9/2023,98,VIP Customers
450,KH35888,920,3,3/18/2023,180,Regular Customers
451,KH6745,3143,5,7/30/2022,411,Regular Customers
452,KH47804,4500,6,7/27/2023,49,VIP Customers
453,KH12307,3493,3,9/12/2023,3,Regular Customers
454,KH44196,3048,3,7/10/2023,67,Regular Customers
455,KH33036,3485,6,4/3/2023,165,Regular Customers
456,KH36004,5080,7,7/1/2023,76,VIP Customers
457,KH47135,1149,1,8/17/2023,29,Regular Customers
458,KH10622,3052,4,9/6/2022,373,Regular Customers
459,KH4645,4305,5,6/8/2023,99,Regular Customers
460,KH24738,3207,3,3/31/2023,167,Regular Customers
461,KH48789,6082,9,9/12/2022,367,VIP Customers
462,KH46225,3929,4,3/27/2021,901,Lapsed Customers
463,KH38484,8995,11,8/25/2023,21,VIP Customers
464,KH32818,2623,3,6/22/2022,449,Lapsed Customers
465,KH29334,2922,5,6/23/2023,83,Regular Customers
466,KH49475,4417,6,7/19/2023,57,VIP Customers
467,KH32394,5474,7,2/5/2023,222,VIP Customers
468,KH13570,4810,3,8/4/2023,41,Regular Customers
469,KH4701,6403,9,8/27/2022,384,VIP Customers
470,KH4635,4009,9,10/21/2022,329,VIP Customers
471,KH26888,4287,5,11/7/2021,676,Lapsed Customers
472,KH23918,1284,4,11/6/2022,313,Regular Customers
473,KH46296,5436,4,7/1/2023,76,Regular Customers
474,KH10328,4131,5,6/8/2023,98,Regular Customers
475,KH25334,6417,7,8/20/2023,25,VIP Customers
476,KH37259,3817,4,4/7/2022,526,Lapsed Customers
477,KH48422,4924,7,6/8/2023,98,VIP Customers
478,KH27068,904,3,3/22/2022,541,Lapsed Customers
479,KH30586,7584,9,4/4/2023,164,VIP Customers
480,KH42790,4900,5,10/30/2022,319,Regular Customers
481,KH32098,7568,10,9/10/2023,5,VIP Customers
482,KH11799,3905,5,10/1/2022,349,Regular Customers
483,KH36036,1346,3,8/27/2023,18,Regular Customers
484,KH45135,2019,4,4/30/2023,138,Regular Customers
485,KH35839,3122,2,4/5/2020,1257,Lapsed Customers
486,KH20195,3959,4,11/23/2022,295,Regular Customers
487,KH40340,9173,11,7/11/2023,65,VIP Customers
488,KH29121,5981,6,8/29/2023,17,VIP Customers
489,KH13601,2281,6,7/19/2023,57,Regular Customers
490,KH13608,4933,4,7/24/2023,52,Regular Customers
491,KH17549,2879,5,1/8/2022,615,Lapsed Customers
492,KH33872,6066,7,1/7/2023,250,VIP Customers
493,KH44797,3455,8,3/17/2023,182,VIP Customers
494,KH12584,4452,6,7/8/2022,433,Regular Customers
